Municipio,Población de 5 años y más hablante de lengua indígena
Santa María Colotepec,1557.0
San Cristóbal Suchixtlahuaca ,7.0
Villa de Tututepec de Melchor Ocampo,2623.0
San Antonino el Alto ,1016.0
San Pedro Juchatengo ,26.0
San Antonino Castillo Velasco,873.0
Mesones Hidalgo ,1624.0
Heroica Ciudad de Huajuapan de León,4185.0
San Agustín Loxicha ,18059.0
San Andrés Cabecera Nueva ,40.0
Santiago Yucuyachi ,170.0
San Juan Lajarcia,25.0
San Agustín Etla ,61.0
Santo Domingo Zanatepec,186.0
Santa Catarina Yosonotú ,1470.0
Santiago Xiacuí ,234.0
San Marcial Ozolotepec ,1306.0
San Juan Petlapa,2415.0
San Juan Sayultepec,11.0
San Juan Bautista Guelache,364.0
Santiago Laollaga ,336.0
San Lorenzo Texmelúcan ,5970.0
Heroica Ciudad de Tlaxiaco,10684.0
San Dionisio Ocotlán ,34.0
Santo Domingo Ozolotepec ,336.0
Pinotepa de Don Luis,5123.0
Santiago Tapextla ,32.0
San Juan del Río,1083.0
San Juan Quiahije,3115.0
Capulálpam de Méndez ,108.0
San Bartolomé Quialana ,2188.0
Santa María Yosoyúa ,1331.0
Chalcatongo de Hidalgo,3082.0
Santo Domingo Petapa,2765.0
San Mateo Cajonos ,510.0
San Miguel Amatitlán,1020.0
San Miguel Santa Flor ,405.0
Santiago Llano Grande ,53.0
Santos Reyes Tepejillo ,948.0
Santa María Totolapilla ,333.0
San Jerónimo Sosola ,16.0
San Andrés Zabache ,89.0
Santo Domingo Tehuantepec,5517.0
Santa Ana del Valle,1518.0
San Sebastián Tutla,817.0
San Juan Bautista Atatlahuca,625.0
Santiago Tenango ,25.0
San José Estancia Grande ,21.0
San Dionisio del Mar,2399.0
San Martín Peras ,9587.0
Santa María Zacatepec,2996.0
Santiago Tamazola ,261.0
San Agustín Chayuco ,1729.0
San Baltazar Yatzachi el Bajo ,554.0
Eloxochitlán de Flores Magón ,3467.0
San Pedro Huamelula,606.0
San José Tenango ,16034.0
San Pedro Mártir Yucuxaco ,7.0
Santa María Zaniza ,423.0
San Jorge Nuchita ,2102.0
San Agustín Atenango ,959.0
Tamazulápam del Espíritu Santo,6441.0
San Bartolomé Loxicha ,1621.0
San Juan Juquila Mixes,3320.0
San Sebastián Ixcapa ,317.0
San Juan Mixtepec,650.0
San Miguel Amatlán ,134.0
Santa María Ecatepec ,988.0
Zapotitlán Lagunas ,4.0
Santa María Pápalo ,1775.0
San Andrés Dinicuiti ,49.0
Santa María Atzompa,3242.0
Santo Domingo Ingenio,410.0
Santiago Camotlán ,2658.0
Santo Tomás Mazaltepec ,1133.0
Teotitlán de Flores Magón,1596.0
Asunción Cuyotepeji ,1.0
Asunción Ocotlán ,2095.0
Trinidad Zaachila ,10.0
San Francisco Cahuacuá ,47.0
Cosolapa,670.0
San Pedro Yólox ,1957.0
Santa Cruz Zenzontepec ,10434.0
Santiago Cacaloxtepec ,510.0
San Pedro Ocotepec ,1862.0
Natividad ,148.0
San Pedro Quiatoni ,9234.0
San Miguel Aloápam ,2246.0
Teotongo,13.0
San Miguel Tlacotepec ,526.0
San Francisco Cajonos ,347.0
Santa María Jaltianguis ,274.0
Santiago Amoltepec ,6878.0
Valerio Trujano ,232.0
Santiago Tilantongo ,1428.0
Magdalena Yodocono de Porfirio Díaz ,13.0
Santa María Huazolotitlán  ,3219.0
San Pedro Coxcaltepec Cántaros ,69.0
San Antonio de la Cal,1922.0
San Antonio Nanahuatípam ,102.0
San Francisco Telixtlahuaca,142.0
San Ildefonso Amatlán ,932.0
San José Ayuquila ,3.0
San Jacinto Amilpas,953.0
San José del Progreso,483.0
San Esteban Atatlahuca ,3061.0
San Pedro Sochiápam ,4132.0
San Vicente Nuñú ,6.0
San Pablo Macuiltianguis ,633.0
San Pedro Huilotepec ,1392.0
San Cristóbal Amatlán ,3973.0
Santiago Choápam ,2353.0
San Juan Atepec ,1060.0
San Juan Bautista Suchitepec,4.0
Santo Domingo Albarradas ,598.0
San Miguel Tlacamama ,895.0
San Andrés Lagunas ,0.0
Ayotzintepec,3899.0
San Lorenzo Victoria ,14.0
Magdalena Tequisistlán,280.0
San Miguel Ejutla ,43.0
Concepción Buenavista ,2.0
San Pedro Yaneri ,866.0
San Bartolo Coyotepec,336.0
Santa Lucía Miahuatlán ,2855.0
San José del Peñasco ,29.0
Ocotlán de Morelos,689.0
San Miguel Huautla ,310.0
San Pedro Ixtlahuaca,597.0
Santa María Coyotepec ,134.0
Yogana ,1.0
Santo Domingo Nuxaá ,1667.0
San Jerónimo Tlacochahuaya,2134.0
Heroica Ciudad de Ejutla de Crespo,447.0
San Lorenzo Albarradas ,432.0
San Pablo Coatlán ,44.0
San Simón Zahuatlán ,3134.0
San Bartolomé Yucuañe ,313.0
Santa Catarina Minas ,15.0
Santiago Chazumba,529.0
San Felipe Jalapa de Díaz ,21323.0
San Pablo Cuatro Venados ,175.0
Santa María Ozolotepec ,846.0
San Miguel Tecomatlán ,18.0
San Miguel Piedras ,479.0
San Juan Ihualtepec,26.0
Santa María del Rosario ,41.0
San Jerónimo Taviche ,271.0
San Pedro Teozacoalco ,15.0
San Simón Almolongas ,7.0
San Juan Bautista Tuxtepec,21431.0
Santa María la Asunción ,2860.0
San Francisco Sola ,25.0
Huautla de Jiménez,23773.0
San Felipe Usila ,10106.0
San Martín Tilcajete ,11.0
San Pedro Ixcatlán,8222.0
Magdalena Tlacotepec ,273.0
San Andrés Tepetlapa ,2.0
Santa Cruz Mixtepec ,753.0
Santa María Cortijo ,41.0
Santa María Chachoápam ,5.0
Santiago Minas ,76.0
Asunción Nochixtlán,2236.0
San Pedro Pochutla,3570.0
Santo Domingo Yanhuitlán ,40.0
San Antonio Huitepec ,1986.0
Acatlán de Pérez Figueroa,5173.0
San Miguel Tulancingo ,28.0
Cosoltepec ,176.0
Santos Reyes Yucuná ,1122.0
Santa Cruz Amilpas,1317.0
Abejones ,958.0
Magdalena Ocotlán ,157.0
Santiago Matatlán,7606.0
Taniche ,2.0
San Juan Tabaá,1179.0
Guelatao de Juárez,76.0
Santiago Jamiltepec,4333.0
Santiago Yolomécatl ,81.0
San Pedro el Alto ,2654.0
San Pedro y San Pablo Ayutla ,4576.0
San Juan Teposcolula,21.0
San Lorenzo Cuaunecuiltitla ,634.0
San Francisco Tlapancingo ,1284.0
El Espinal,3048.0
San Martín Huamelúlpam ,15.0
Santa Ana Zegache ,936.0
Santa María Quiegolani ,1423.0
Santo Domingo Ixcatlán ,194.0
Chahuites,556.0
San Agustín Yatareni ,528.0
San Bartolomé Zoogocho ,320.0
San Pedro Yucunama ,0.0
San Mateo Peñasco ,1695.0
Monjas ,22.0
Zimatlán de Álvarez,706.0
San Vicente Coatlán ,3244.0
Santa Inés de Zaragoza ,705.0
Santiago Apóstol ,2912.0
San Juan Tamazola,1385.0
Mazatlán Villa de Flores ,10606.0
San Pablo Yaganiza ,934.0
La Trinidad Vista Hermosa ,3.0
San Blas Atempa,13509.0
Reforma de Pineda ,84.0
Santa María del Tule,501.0
Magdalena Teitipac ,3541.0
Santo Tomás Ocotepec ,3502.0
San Andrés Ixtlahuaca ,192.0
Santiago Jocotepec,9325.0
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",5244.0
Ixtlán de Juárez,4282.0
San Sebastián Abasolo ,533.0
Silacayoápam,1211.0
San Martín Itunyoso ,2073.0
San Sebastián Tecomaxtlahuaca,2581.0
Heroica Ciudad de Juchitán de Zaragoza,53226.0
San Juan Lachao,1931.0
San Raymundo Jalpan ,77.0
Santo Domingo de Morelos ,8112.0
San Mateo Yoloxochitlán ,2330.0
San Lucas Zoquiápam ,6410.0
Magdalena Zahuatlán ,3.0
Mariscala de Juárez ,11.0
Santa María Zoquitlán ,17.0
San Juan Cacahuatepec,244.0
San Jerónimo Tecóatl ,1116.0
San Juan Yucuita ,9.0
San Andrés Nuxiño ,571.0
Santa Ana Yareni ,752.0
Villa de Zaachila,3300.0
San Francisco Jaltepetongo ,172.0
Santa Magdalena Jicotlán ,0.0
Magdalena Peñasco ,3173.0
Santa Lucía Monteverde,3426.0
Santa María Sola ,33.0
Santa Ana Tavela ,14.0
Santiago Nejapilla ,0.0
Santiago Yaveo,1608.0
Santo Tomás Jalieza,480.0
Tataltepec de Valdés ,2874.0
San Miguel Tenango ,23.0
Yaxe ,20.0
Santa Lucía del Camino,5921.0
Santiago Nundiche ,819.0
San Pedro Teutila ,819.0
San Francisco Lachigoló ,556.0
Coicoyán de las Flores ,7008.0
Magdalena Jaltepec ,233.0
San Juan Bautista Coixtlahuaca,146.0
San Juan Evangelista Analco ,174.0
San Mateo Sindihui ,53.0
San Pedro Jocotipac ,433.0
Villa Talea de Castro ,1158.0
Santa Cruz Xoxocotlán,6658.0
Santa María Xadani,6563.0
San Juan Cotzocón,10349.0
San Jerónimo Silacayoapilla ,3.0
Nuevo Zoquiápam ,652.0
Teococuilco de Marcos Pérez ,668.0
San Juan Bautista Tlachichilco,119.0
Santiago Juxtlahuaca,19071.0
Guadalupe Etla ,137.0
Santo Domingo Chihuitán ,120.0
San Pedro y San Pablo Tequixtepec ,277.0
Huautepec ,5113.0
Santo Domingo Tonaltepec ,25.0
San Jacinto Tlacotepec ,38.0
San Agustín de las Juntas,782.0
Santa María Tataltepec ,38.0
Miahuatlán de Porfirio Díaz,3751.0
Santa María Nduayaco ,8.0
Santo Domingo Roayaga ,851.0
San Antonio Acutla ,1.0
Santa Inés Yatzeche ,828.0
Cuyamecalco Villa de Zaragoza ,811.0
San Miguel Ahuehuetitlán,1367.0
San Agustín Amatengo ,5.0
Teotitlán del Valle,3690.0
Santiago Niltepec,88.0
San Mateo del Mar ,12344.0
San Pedro Jaltepetongo ,380.0
Santa Cruz Itundujia,707.0
Santa Lucía Ocotlán ,2761.0
San Ildefonso Villa Alta ,2193.0
Santa Catarina Mechoacán ,3944.0
San Juan Chilateca,10.0
San Juan Bautista Tlacoatzintepec,1920.0
Santiago Miltepec ,4.0
San Andrés Huaxpaltepec,1585.0
San Pedro Tapanatepec,417.0
San Bartolo Yautepec ,227.0
San Antonio Sinicahua ,1345.0
San Cristóbal Amoltepec ,957.0
Magdalena Mixtepec ,168.0
Santa María Guelacé ,154.0
San Sebastián Teitipac ,580.0
Santa Cruz Tacache de Mina ,4.0
Santiago Apoala ,886.0
San Pedro Comitancillo ,1804.0
Santa Cruz Nundaco ,2346.0
San Andrés Sinaxtla,23.0
San Pedro Topiltepec ,6.0
San Juan Juquila Vijanos,1586.0
Asunción Tlacolulita ,56.0
San Juan Bautista Lo de Soto,48.0
Santa Catarina Quiané ,14.0
Tanetze de Zaragoza ,1457.0
La Reforma,38.0
San Miguel Suchixtepec ,1795.0
Santa María Tecomavaca ,235.0
Guevea de Humboldt,2441.0
San José Independencia ,3148.0
San Antonio Tepetlapa,3363.0
Santa Ana ,6.0
San Agustín Tlacotepec ,546.0
San Martín Zacatepec ,15.0
Santa María Tlalixtac ,732.0
Santa Cruz Acatepec ,1166.0
Santa Cruz Tacahua ,575.0
San Pedro Mártir ,822.0
Santiago Laxopa ,1155.0
Santa Cruz de Bravo ,11.0
San Martín Lachilá ,12.0
Santa Catarina Ticuá,552.0
San Dionisio Ocotepec,8954.0
Total estatal,1.165186e6
Ciénega de Zimatlán ,15.0
Santa María Yucuhiti,5394.0
San Pedro Mixtepec,1425.0
San Felipe Tejalápam,107.0
San Nicolás Hidalgo ,1.0
San Miguel del Puerto,344.0
Mixistlán de la Reforma ,2475.0
Santa Gertrudis ,9.0
Santa María Jalapa del Marqués,585.0
Santo Tomás Tamazulapan,165.0
Calihualá ,458.0
Loma Bonita,1161.0
San Baltazar Chichicápam ,2154.0
Santa María Chilchotla ,17567.0
San Pedro Taviche,3.0
San Bernardo Mixtepec ,87.0
Santa María Camotlán ,8.0
Santiago Comaltepec ,948.0
San Bartolomé Ayautla ,3526.0
Santiago Ixtayutla ,8433.0
Pluma Hidalgo ,119.0
San Juan Chicomezúchil,11.0
Villa Sola de Vega,423.0
Matías Romero Avendaño ,4674.0
Asunción Ixtaltepec,6387.0
Santiago Huauclilla,9.0
Santiago Tlazoyaltepec ,4238.0
San Lucas Camotlán ,2693.0
Guadalupe de Ramírez ,18.0
Santo Domingo Xagacía ,980.0
Santa María Temaxcalapa ,870.0
Santa Ana Ateixtlahuaca ,451.0
San Miguel Yotao ,543.0
Ixpantepec Nieves ,839.0
San Miguel el Grande ,2266.0
Candelaria Loxicha ,5447.0
Yutanduchi de Guerrero ,875.0
San Marcos Arteaga ,55.0
Santiago Tepetlapa ,2.0
Santa María Chimalapa ,2936.0
San Miguel Peras ,701.0
Santiago Yaitepec ,3567.0
Ciudad Ixtepec,4945.0
Santa María Nativitas ,260.0
Santa María Yavesía ,123.0
San Andrés Yaá ,461.0
Santa María Yolotepec ,300.0
Constancia del Rosario ,2203.0
Salina Cruz,4153.0
San Mateo Etlatongo ,15.0
San Juan de los Cués,740.0
Santiago Textitlán ,597.0
San Pedro Amuzgos,4603.0
Santa Cruz Tayata ,8.0
Santiago Tillo ,28.0
Santiago Tetepec ,1084.0
San Juan Comaltepec,1927.0
San Pedro Apóstol ,36.0
Santa María Ipalapa ,661.0
San Juan Ñumí,5775.0
Santa Catarina Tayata ,71.0
Cuilápam de Guerrero,880.0
Santa María Petapa ,3791.0
San Miguel Quetzaltepec,6547.0
San Sebastián Nicananduta ,760.0
San Juan Diuxi,1005.0
Santa Catarina Ixtepeji ,127.0
Reyes Etla ,53.0
San Pedro Atoyac ,2869.0
San Juan del Estado,27.0
San Nicolás ,3.0
San Pablo Etla,572.0
Oaxaca de Juárez,21398.0
Santa María Lachixío ,1407.0
San Francisco Ozolotepec ,1527.0
San Miguel Chimalapa,1843.0
San Juan Cieneguilla,0.0
San Pedro Mártir Quiechapa ,15.0
San Sebastián Río Hondo ,257.0
Santiago Ihuitlán Plumas ,2.0
Santiago Ayuquililla ,6.0
Santa Catarina Lachatao ,478.0
Ayoquezco de Aldama ,394.0
San Miguel Chicahua ,1490.0
San Juan Yatzona ,403.0
Nazareno Etla ,25.0
San Pablo Tijaltepec ,1813.0
Santa María Huatulco,1326.0
San Bartolo Soyaltepec ,109.0
Villa de Tamazulápam del Progreso,103.0
Coatecas Altas ,2479.0
San Mateo Nejápam ,4.0
San Pedro Cajonos ,941.0
San Juan Teita,380.0
San Gabriel Mixtepec ,86.0
San Juan Bautista Cuicatlán,1339.0
Nejapa de Madero,1447.0
Unión Hidalgo,7467.0
Santa María Yalina ,244.0
Tepelmeme Villa de Morelos,6.0
Villa Tejúpam de la Unión ,33.0
