Municipio,Porcentaje de mujeres
San José del Progreso,52.1900980270505
San Esteban Atatlahuca ,52.262328418912
San Pedro Sochiápam ,51.7418844022169
San Vicente Nuñú ,53.0066815144766
San Pablo Macuiltianguis ,49.9476439790576
San Pedro Huilotepec ,50.922286059873
San Cristóbal Amatlán ,52.2238695329874
Santiago Choápam ,52.4799694772987
San Juan Atepec ,51.6129032258064
San Juan Bautista Suchitepec,50.9933774834437
Santo Domingo Albarradas ,52.7568922305764
San Miguel Tlacamama ,51.3086150490731
San Andrés Lagunas ,52.3166023166023
Ayotzintepec,52.1219192066501
San Lorenzo Victoria ,48.7124463519313
Magdalena Tequisistlán,50.9839893262175
San Miguel Ejutla ,53.3507397737163
Concepción Buenavista ,50.1329787234042
San Pedro Yaneri ,51.7877739331027
San Bartolo Coyotepec,51.9006832836108
Santa Lucía Miahuatlán ,51.2
San José del Peñasco ,52.442996742671
Ocotlán de Morelos,52.2672729569281
San Miguel Huautla ,53.0892448512586
San Pedro Ixtlahuaca,51.0857614073667
Santa María Coyotepec ,52.8659024260197
Yogana ,52.1285140562249
Santo Domingo Nuxaá ,51.2443778110945
San Jerónimo Tlacochahuaya,52.9493407356003
Heroica Ciudad de Ejutla de Crespo,52.1384136858476
San Lorenzo Albarradas ,49.3436553349041
San Pablo Coatlán ,51.0909935004643
San Simón Zahuatlán ,50.0202429149798
San Bartolomé Yucuañe ,55.7823129251701
Santa Catarina Minas ,50.2660861151427
Santiago Chazumba,52.9218782038138
San Felipe Jalapa de Díaz ,52.9649122807018
San Pablo Cuatro Venados ,52.4503311258278
Santa María Ozolotepec ,51.6214078565779
San Miguel Tecomatlán ,50.1639344262295
San Miguel Piedras ,52.1084337349398
San Juan Ihualtepec,54.251012145749
Santa María del Rosario ,50.7014028056112
San Jerónimo Taviche ,51.7595307917889
San Pedro Teozacoalco ,50.1300954032957
San Simón Almolongas ,52.4268379728765
San Juan Bautista Tuxtepec,52.3574492637283
Santa María la Asunción ,56.0601411475913
San Francisco Sola ,53.0955918771669
Huautla de Jiménez,53.8694418164617
San Felipe Usila ,52.0301862029366
San Martín Tilcajete ,53.3164556962025
San Pedro Ixcatlán,52.0061728395062
Magdalena Tlacotepec ,52.0431765612953
San Andrés Tepetlapa ,51.9685039370079
Santa Cruz Mixtepec ,51.8279569892473
Santa María Cortijo ,51.4526710402999
Santa María Chachoápam ,51.7739816031537
Santiago Minas ,50.8666164280332
Asunción Nochixtlán,53.2007427677873
San Pedro Pochutla,51.2094431997345
Santo Domingo Yanhuitlán ,53.5211267605634
San Antonio Huitepec ,53.8828337874659
Acatlán de Pérez Figueroa,51.3361525007196
San Miguel Tulancingo ,56.3517915309446
Cosoltepec ,52.0547945205479
Santos Reyes Yucuná ,50.4070556309362
Santa Cruz Amilpas,53.1060606060606
Abejones ,57.1938168846611
Magdalena Ocotlán ,50.5912162162162
Santiago Matatlán,53.6707616707617
Taniche ,53.4385569334837
San Juan Tabaá,52.0547945205479
Guelatao de Juárez,50.5327245053272
Santiago Jamiltepec,52.0772289660946
Santiago Yolomécatl ,54.006243496358
San Pedro el Alto ,51.5255694026644
San Pedro y San Pablo Ayutla ,54.8967236467236
San Juan Teposcolula,51.6064257028112
San Lorenzo Cuaunecuiltitla ,48.2593037214886
San Francisco Tlapancingo ,53.7216828478964
El Espinal,51.4432989690722
San Martín Huamelúlpam ,53.2
Santa Ana Zegache ,53.2027128862095
Santa María Quiegolani ,49.0107913669065
Santo Domingo Ixcatlán ,54.6052631578947
Chahuites,50.9598450158506
San Agustín Yatareni ,53.0882086578518
San Bartolomé Zoogocho ,46.1024498886414
San Pedro Yucunama ,54.7717842323651
San Mateo Peñasco ,53.0201342281879
Monjas ,53.9923954372624
Zimatlán de Álvarez,52.7904766215543
San Vicente Coatlán ,53.9578587699317
Santa Inés de Zaragoza ,52.2696011004127
Santiago Apóstol ,54.6256503053608
San Juan Tamazola,51.3984962406015
Mazatlán Villa de Flores ,51.0061311114605
San Pablo Yaganiza ,51.7333333333333
La Trinidad Vista Hermosa ,50.6535947712418
San Blas Atempa,50.3909423233144
Reforma de Pineda ,51.8045112781955
Santa María del Tule,53.6972815751203
Magdalena Teitipac ,53.3795130142737
Santo Tomás Ocotepec ,54.3285784554845
San Andrés Ixtlahuaca ,52.4211711711712
Santiago Jocotepec,51.6622059444992
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",52.9350196249455
Ixtlán de Juárez,51.8664281454979
San Sebastián Abasolo ,52.576288144072
Silacayoápam,51.9076005961252
San Martín Itunyoso ,54.4925427428156
San Sebastián Tecomaxtlahuaca,52.28271484375
Heroica Ciudad de Juchitán de Zaragoza,51.9098353438408
San Juan Lachao,52.0428228097007
San Raymundo Jalpan ,53.252131546894
Santo Domingo de Morelos ,51.9501054111033
San Mateo Yoloxochitlán ,52.8843643957191
San Lucas Zoquiápam ,51.9335473963423
Magdalena Zahuatlán ,53.2178217821782
Mariscala de Juárez ,52.2064723188018
Santa María Zoquitlán ,50.5160898603522
San Juan Cacahuatepec,51.9297460566059
San Jerónimo Tecóatl ,53.5827520608751
San Juan Yucuita ,52.5660964230171
San Andrés Nuxiño ,52.3243243243243
Santa Ana Yareni ,55.8869701726845
Villa de Zaachila,52.300705922865
San Francisco Jaltepetongo ,52.1860465116279
Santa Magdalena Jicotlán ,49.3827160493827
Magdalena Peñasco ,52.8
Santa Lucía Monteverde,51.947665774606
Santa María Sola ,51.4511873350923
Santa Ana Tavela ,51.7688679245283
Santiago Nejapilla ,51.7241379310345
Santiago Yaveo,50.125115237719
Santo Tomás Jalieza,52.6382870252358
Tataltepec de Valdés ,51.2683996241779
San Miguel Tenango ,48.8514548238897
Yaxe ,51.5910629654705
Santa Lucía del Camino,52.0054803224653
Santiago Nundiche ,52.3316062176166
San Pedro Teutila ,51.1173184357542
