Municipio,Población total
Ocotlán de Morelos,23751.0
San Miguel Huautla ,1311.0
San Pedro Ixtlahuaca,14552.0
Santa María Coyotepec ,3751.0
Yogana ,1245.0
Santo Domingo Nuxaá ,3335.0
San Jerónimo Tlacochahuaya,5764.0
Heroica Ciudad de Ejutla de Crespo,23148.0
San Lorenzo Albarradas ,2971.0
San Pablo Coatlán ,4308.0
San Simón Zahuatlán ,4940.0
San Bartolomé Yucuañe ,735.0
Santa Catarina Minas ,2067.0
Santiago Chazumba,4877.0
San Felipe Jalapa de Díaz ,28500.0
San Pablo Cuatro Venados ,1510.0
Santa María Ozolotepec ,3793.0
San Miguel Tecomatlán ,305.0
San Miguel Piedras ,1328.0
San Juan Ihualtepec,494.0
Santa María del Rosario ,499.0
San Jerónimo Taviche ,2046.0
San Pedro Teozacoalco ,1153.0
San Simón Almolongas ,2802.0
San Juan Bautista Tuxtepec,159452.0
Santa María la Asunción ,3259.0
San Francisco Sola ,2019.0
Huautla de Jiménez,31710.0
San Felipe Usila ,12191.0
San Martín Tilcajete ,1975.0
San Pedro Ixcatlán,10368.0
Magdalena Tlacotepec ,1297.0
San Andrés Tepetlapa ,381.0
Santa Cruz Mixtepec ,3720.0
Santa María Cortijo ,1067.0
Santa María Chachoápam ,761.0
Santiago Minas ,1327.0
Asunción Nochixtlán,20464.0
San Pedro Pochutla,48204.0
Santo Domingo Yanhuitlán ,1633.0
San Antonio Huitepec ,2936.0
Acatlán de Pérez Figueroa,45167.0
San Miguel Tulancingo ,307.0
Cosoltepec ,803.0
Santos Reyes Yucuná ,1474.0
Santa Cruz Amilpas,13200.0
Abejones ,841.0
Magdalena Ocotlán ,1184.0
Santiago Matatlán,10175.0
Taniche ,887.0
San Juan Tabaá,1241.0
Guelatao de Juárez,657.0
Santiago Jamiltepec,19112.0
Santiago Yolomécatl ,1922.0
San Pedro el Alto ,4654.0
San Pedro y San Pablo Ayutla ,5616.0
San Juan Teposcolula,1494.0
San Lorenzo Cuaunecuiltitla ,833.0
San Francisco Tlapancingo ,2472.0
El Espinal,8730.0
San Martín Huamelúlpam ,1000.0
Santa Ana Zegache ,3981.0
Santa María Quiegolani ,2224.0
Santo Domingo Ixcatlán ,760.0
Chahuites,11356.0
San Agustín Yatareni ,5521.0
San Bartolomé Zoogocho ,449.0
San Pedro Yucunama ,241.0
San Mateo Peñasco ,2384.0
Monjas ,2893.0
Zimatlán de Álvarez,22093.0
San Vicente Coatlán ,3512.0
Santa Inés de Zaragoza ,1454.0
Santiago Apóstol ,4421.0
San Juan Tamazola,3325.0
Mazatlán Villa de Flores ,12722.0
San Pablo Yaganiza ,1125.0
La Trinidad Vista Hermosa ,306.0
San Blas Atempa,19696.0
Reforma de Pineda ,2660.0
Santa María del Tule,8939.0
Magdalena Teitipac ,4764.0
Santo Tomás Ocotepec ,4066.0
San Andrés Ixtlahuaca ,1776.0
Santiago Jocotepec,14198.0
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",11465.0
Ixtlán de Juárez,8385.0
San Sebastián Abasolo ,1999.0
Silacayoápam,6710.0
San Martín Itunyoso ,2749.0
San Sebastián Tecomaxtlahuaca,8192.0
Heroica Ciudad de Juchitán de Zaragoza,113570.0
San Juan Lachao,4577.0
San Raymundo Jalpan ,4105.0
Santo Domingo de Morelos ,11384.0
San Mateo Yoloxochitlán ,3831.0
San Lucas Zoquiápam ,7163.0
Magdalena Zahuatlán ,404.0
Mariscala de Juárez ,3739.0
Santa María Zoquitlán ,3294.0
San Juan Cacahuatepec,8939.0
San Jerónimo Tecóatl ,1577.0
San Juan Yucuita ,643.0
San Andrés Nuxiño ,1850.0
Santa Ana Yareni ,637.0
Villa de Zaachila,46464.0
San Francisco Jaltepetongo ,1075.0
Santa Magdalena Jicotlán ,81.0
Magdalena Peñasco ,3750.0
Santa Lucía Monteverde,6726.0
Santa María Sola ,1516.0
Santa Ana Tavela ,848.0
Santiago Nejapilla ,174.0
Santiago Yaveo,7593.0
Santo Tomás Jalieza,3923.0
Tataltepec de Valdés ,6386.0
San Miguel Tenango ,653.0
Yaxe ,2954.0
Santa Lucía del Camino,50362.0
Santiago Nundiche ,1351.0
San Pedro Teutila ,4296.0
San Francisco Lachigoló ,5215.0
Coicoyán de las Flores ,9563.0
Magdalena Jaltepec ,2943.0
San Juan Bautista Coixtlahuaca,2725.0
San Juan Evangelista Analco ,407.0
San Mateo Sindihui ,1977.0
San Pedro Jocotipac ,730.0
Villa Talea de Castro ,2011.0
